timestamp,open_interest,producer_net,swap_net,managed_money_net,other_reportable_net,managed_money_net_share,producer_net_share,swap_net_share
2006-06-13T00:00:00Z,288981,-90442,-43959,69880,29407,0.2418152058,-0.3129686727,-0.1521172672
2006-06-20T00:00:00Z,288148,-83670,-38601,61116,29105,0.2120993378,-0.2903716146,-0.1339624082
2006-06-27T00:00:00Z,292789,-79394,-36847,57215,28409,0.1954137621,-0.2711645588,-0.1258483071
2006-07-03T00:00:00Z,292500,-79294,-42873,59326,32594,0.2028239316,-0.2710905983,-0.1465743590
2006-07-11T00:00:00Z,312684,-80518,-51529,71884,30045,0.2298934387,-0.2575059805,-0.1647957683
2006-07-18T00:00:00Z,324276,-85418,-54673,79271,28103,0.2444553405,-0.2634114150,-0.1686002048
2006-07-25T00:00:00Z,315635,-84073,-55416,72907,28648,0.2309851569,-0.2663614618,-0.1755698829
2006-08-01T00:00:00Z,304907,-94056,-44377,70609,32152,0.2315755296,-0.3084743873,-0.1455427393
2006-08-08T00:00:00Z,309097,-98754,-43171,74318,31780,0.2404358502,-0.3194919394,-0.1396681301
2006-08-15T00:00:00Z,313327,-95646,-39483,67890,32654,0.2166745924,-0.3052593616,-0.1260121215
2006-08-22T00:00:00Z,306171,-93649,-34424,60305,35643,0.1969650947,-0.3058715554,-0.1124339013
2006-08-29T00:00:00Z,307583,-89926,-27319,49529,38187,0.1610264546,-0.2923633621,-0.0888183027
2006-09-05T00:00:00Z,319998,-95212,-36053,58222,40112,0.1819448872,-0.2975393596,-0.1126663292
2006-09-12T00:00:00Z,310510,-84679,-26016,45940,38282,0.1479501465,-0.2727094135,-0.0837847412
2006-09-19T00:00:00Z,325852,-78818,-23107,41593,36275,0.1276438383,-0.2418828180,-0.0709125615
2006-09-26T00:00:00Z,322937,-73445,-21920,35324,35920,0.1093835640,-0.2274282600,-0.0678770163
2006-10-03T00:00:00Z,330065,-69430,-22564,32453,36981,0.0983230576,-0.2103525063,-0.0683622923
2006-10-10T00:00:00Z,334329,-66887,-15715,23064,39385,0.0689859390,-0.2000634106,-0.0470045973
2006-10-17T00:00:00Z,329875,-65659,-17479,21829,39430,0.0661735506,-0.1990420614,-0.0529867374
2006-10-24T00:00:00Z,331598,-61521,-18988,10179,45871,0.0306968076,-0.1855288633,-0.0572621065
2006-10-31T00:00:00Z,323481,-68217,-23679,20892,43824,0.0645849370,-0.2108841014,-0.0732005898
2006-11-07T00:00:00Z,335036,-82822,-31634,43530,37636,0.1299263363,-0.2472032856,-0.0944197042
2006-11-14T00:00:00Z,356575,-88506,-35015,49754,39080,0.1395330576,-0.2482114562,-0.0981981350
2006-11-21T00:00:00Z,355430,-87159,-31817,48450,35843,0.1363137608,-0.2452212813,-0.0895169232
2006-11-28T00:00:00Z,349517,-80010,-37714,44595,35271,0.1275903604,-0.2289159039,-0.1079031921
2006-12-05T00:00:00Z,330530,-82988,-37180,52047,31592,0.1574652830,-0.2510755453,-0.1124860073
2006-12-12T00:00:00Z,333101,-85827,-30455,50086,31743,0.1503628029,-0.2576605894,-0.0914287258
2006-12-19T00:00:00Z,337096,-79727,-22005,38961,30932,0.1155783516,-0.2365112609,-0.0652781404
2006-12-26T00:00:00Z,340473,-80879,-22189,38119,29973,0.1119589512,-0.2375489393,-0.0651711002
2007-01-03T00:00:00Z,353494,-85311,-27136,46792,31091,0.1323699978,-0.2413364866,-0.0767650936
2007-01-09T00:00:00Z,347491,-68722,-12952,25996,26872,0.0748105706,-0.1977662731,-0.0372729078
2007-01-16T00:00:00Z,344685,-68618,-23491,35059,27891,0.1017131584,-0.1990745173,-0.0681520809
2007-01-23T00:00:00Z,361114,-80929,-37648,57938,26563,0.1604424088,-0.2241092840,-0.1042551660
2007-01-30T00:00:00Z,348035,-89960,-45651,69986,30359,0.2010889709,-0.2584797506,-0.1311678423
2007-02-06T00:00:00Z,360936,-101432,-45232,81462,27084,0.2256965224,-0.2810248908,-0.1253186160
2007-02-13T00:00:00Z,383169,-110052,-55412,97057,27693,0.2533007628,-0.2872153019,-0.1446150393
2007-02-20T00:00:00Z,396115,-114658,-53492,95802,34131,0.2418540070,-0.2894563447,-0.1350415915
2007-02-27T00:00:00Z,415155,-123145,-60605,112237,29855,0.2703496285,-0.2966241524,-0.1459816213
2007-03-06T00:00:00Z,382550,-97534,-39777,68881,32817,0.1800575088,-0.2549575219,-0.1039785649
2007-03-13T00:00:00Z,394090,-94805,-36111,68266,28076,0.1732243904,-0.2405668756,-0.0916313532
2007-03-20T00:00:00Z,359726,-92007,-37887,67101,26323,0.1865336395,-0.2557696691,-0.1053218283
2007-03-27T00:00:00Z,359434,-89188,-49336,68924,26199,0.1917570402,-0.2481345671,-0.1372602481
2007-04-03T00:00:00Z,347817,-79034,-50464,68819,25126,0.1978597941,-0.2272286863,-0.1450877904
2007-04-10T00:00:00Z,369536,-98192,-55012,83735,29221,0.2265949732,-0.2657170073,-0.1488677693
2007-04-17T00:00:00Z,380800,-108859,-65739,106640,28718,0.2800420168,-0.2858692227,-0.1726339286
2007-04-24T00:00:00Z,403388,-113605,-58168,104570,29272,0.2592293276,-0.2816271183,-0.1441986375
2007-05-01T00:00:00Z,396276,-115409,-50744,104135,26310,0.2627840192,-0.2912338875,-0.1280521657
2007-05-08T00:00:00Z,411273,-115712,-56752,114336,21950,0.2780051207,-0.2813508302,-0.1379910668
2007-05-15T00:00:00Z,408936,-93321,-53972,87411,26487,0.2137522742,-0.2282044134,-0.1319815326
2007-05-22T00:00:00Z,416813,-81708,-42508,66248,29567,0.1589393805,-0.1960303541,-0.1019833834
2007-05-29T00:00:00Z,425688,-76721,-41974,63717,31180,0.1496800474,-0.1802282423,-0.0986027325
2007-06-05T00:00:00Z,385046,-86184,-50212,77018,30599,0.2000228544,-0.2238278024,-0.1304051983
